Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, Chp102, Chp103, Chp105, Chp106",GRM31C5C1H224JE02L,7,220n,C464977
C104,cap_CL10C101JB8NNNC,1,100p,C14858
"C105, Chp104",EEEFTH101XAP,2,100u 50V,C165974 
"C201, C202, C203, C204, C301, C302",cap_CL31A226KAHNNNE,6,22u,C12891
"C205, C206, Cb103, Chp107",GRM31C5C1H104JA01L,4,100n,C97946
"Cb101, Cb104, Chp101, Chp108",GRM31C5C1H683JA01L,4,68n,C77084
"Cb102, Cf102, Ct103",GRM21B5C1H223JA01L,3,22n,C77069
Cf101,GRM1885C1H102JA01D,1,1n,C77026
"Cf103, Cf104, Cf105, Ct101, Ct102, Ct104",GRM1885C1H472JA01D,6,4n7,C85980
"D101, D102",CDSOD323-T12LC,2,12V 1pF,C911368
D201,D20V0L1B2WS-7,1,20V 15pF,C507921
D202,DDZ12B-7,1,DDZ12B-7,C2760568
D301,APT1608LSECK_J3-PRV,1,Red 100mcd/120°/2mA,C5357909
H422,KEYSTONE-71,1,9V battery holder,-
"J101, J102",CUI_SJ-63053A,2,6.3mm stereo,-
J201,694106301002,1,DC IN 5.5/2.1mm,-
J401,KEYSTONE-5201,1,Spring Contact,-
"R101, R102",ERA-3AEB151V,2,150R,C543626
"R103, R303, Rb101, Rb102",RT0603FRE073K9L,4,3k9,C863790
"R104, Rf101",MCA1206MD1005BP100,2,10M,C4259100
"R105, R202",ERA-6AEB101V,2,100R,C445646
"R201, R305",RT0603BRD0710KL,2,10k,C95204
"R203, R204, R301, R302, R304",RT0603FRD0747KL,5,47k,C728633
RV301,trimpot_TC33X-2-103E,1,trim B10k,C719176
"Rt101, Rt102",RT0603DRD072K2L,2,2k2,C705970
"S101, S102",sw_SK14D01G6,2,SK14D01G6,
S103,sw_0S203011MA2QP1,1,0S203011MA2QP1,
S201,EG4208A,1,EG4208A,-
S301,OS102011MA1QN1,1,OS102011MA1QN1,-
"U101, U102",OPA145IDBVR,2,OPA145,C2058624
U201,ZXMP3A17E6TA,1,ZXMP3A17E6TA,C154715
U301,bjt_BC847BS_115,1,"BC847BS,115",C8653
